Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,March 2012,$265K,0.0%,-7.2%,57,-9.5%,-9.5%,70,11.1%,-18.6%,63,-11.3%,-37.0%,69,14,-10,96.6%,0.2%,0.2%
,April 2012,$296K,11.5%,0.6%,66,15.8%,-5.7%,86,22.9%,-25.9%,68,7.9%,-43.3%,69,-1,-34,96.6%,0.0%,0.2%
,May 2012,$290K,-1.9%,-10.8%,79,19.7%,17.9%,104,20.9%,-20.0%,59,-13.2%,-51.6%,57,-12,-3,98.3%,1.7%,1.1%
,June 2012,$319K,9.8%,-5.5%,98,24.1%,36.1%,126,21.2%,-8.0%,56,-5.1%,-54.8%,29,-28,-19,98.6%,0.3%,1.9%
,July 2012,$334K,4.7%,-0.1%,108,10.2%,31.7%,117,-7.1%,7.3%,55,-1.8%,-50.0%,20,-10,-17,99.3%,0.7%,2.2%
,August 2012,$351K,5.1%,7.3%,111,2.8%,23.3%,111,-5.1%,12.1%,53,-3.6%,-46.5%,14,-6,-32,99.1%,-0.3%,2.0%
,September 2012,$335K,-4.4%,13.6%,97,-12.6%,16.9%,115,3.6%,17.3%,67,26.4%,-36.8%,14,-1,-29,99.4%,0.3%,1.5%
,October 2012,$330K,-1.5%,0.8%,101,4.1%,26.3%,112,-2.6%,20.4%,53,-20.9%,-39.1%,18,5,-26,99.5%,0.1%,1.6%
,November 2012,$329K,-0.3%,-0.3%,94,-6.9%,23.7%,102,-8.9%,18.6%,46,-13.2%,-48.9%,20,2,-22,99.8%,0.3%,1.9%
,December 2012,$334K,1.5%,4.4%,104,10.6%,42.5%,65,-36.3%,1.6%,41,-10.9%,-51.8%,25,6,-20,99.7%,-0.1%,2.1%
,January 2013,$337K,0.7%,19.1%,80,-23.1%,25.0%,71,9.2%,10.9%,46,12.2%,-37.8%,31,6,-14,99.2%,-0.5%,1.9%
,February 2013,$349K,3.7%,31.7%,74,-7.5%,17.5%,70,-1.4%,11.1%,39,-15.2%,-45.1%,40,9,-16,99.4%,0.2%,3.0%
,March 2013,$350K,0.3%,32.1%,65,-12.2%,14.0%,110,57.1%,57.1%,42,7.7%,-33.3%,29,-11,-41,99.3%,-0.1%,2.6%
,April 2013,$345K,-1.4%,16.8%,87,33.8%,31.8%,123,11.8%,43.0%,53,26.2%,-22.1%,15,-14,-54,100.3%,1.0%,3.7%
,May 2013,$341K,-1.2%,17.6%,109,25.3%,38.0%,159,29.3%,52.9%,58,9.4%,-1.7%,7,-8,-50,101.2%,0.9%,2.9%
,June 2013,$340K,-0.3%,6.8%,131,20.2%,33.7%,153,-3.8%,21.4%,56,-3.4%,0.0%,7,0,-22,101.7%,0.5%,3.1%
,July 2013,$375K,10.3%,12.4%,139,6.1%,28.7%,151,-1.3%,29.1%,63,12.5%,14.5%,7,0,-13,102.8%,1.2%,3.5%
,August 2013,$393K,4.7%,12.0%,127,-8.6%,14.4%,149,-1.3%,34.2%,77,22.2%,45.3%,7,0,-7,102.7%,-0.1%,3.7%
,September 2013,$394K,0.3%,17.5%,118,-7.1%,21.6%,144,-3.4%,25.2%,81,5.2%,20.9%,8,1,-6,102.7%,0.0%,3.4%
,October 2013,$375K,-4.8%,13.6%,108,-8.5%,6.9%,141,-2.1%,25.9%,69,-14.8%,30.2%,13,5,-5,101.0%,-1.8%,1.5%
,November 2013,$372K,-0.8%,13.1%,110,1.9%,17.0%,99,-29.8%,-2.9%,55,-20.3%,19.6%,13,0,-7,100.1%,-0.8%,0.4%
,December 2013,$372K,-0.1%,11.3%,101,-8.2%,-2.9%,66,-33.3%,1.5%,43,-21.8%,4.9%,15,2,-10,100.0%,-0.1%,0.3%
,January 2014,$369K,-0.6%,9.8%,84,-16.8%,5.0%,50,-24.2%,-29.6%,35,-18.6%,-23.9%,17,2,-14,100.1%,0.1%,0.9%
,February 2014,$362K,-2.1%,3.6%,68,-19.0%,-8.1%,70,40.0%,0.0%,36,2.9%,-7.7%,18,1,-22,101.4%,1.2%,1.9%
,March 2014,$380K,5.1%,8.5%,74,8.8%,13.8%,101,44.3%,-8.2%,39,8.3%,-7.1%,21,3,-8,100.5%,-0.8%,1.3%
,April 2014,$365K,-3.9%,5.8%,91,23.0%,4.6%,124,22.8%,0.8%,37,-5.1%,-30.2%,13,-8,-2,102.2%,1.6%,1.9%
,May 2014,$380K,4.0%,11.4%,114,25.3%,4.6%,141,13.7%,-11.3%,44,18.9%,-24.1%,8,-5,1,102.4%,0.2%,1.2%
,June 2014,$400K,5.3%,17.6%,125,9.6%,-4.6%,143,1.4%,-6.5%,42,-4.5%,-25.0%,8,0,1,103.3%,0.9%,1.6%
,July 2014,$416K,4.0%,11.0%,130,4.0%,-6.5%,143,0.0%,-5.3%,48,14.3%,-23.8%,8,0,1,102.3%,-0.9%,-0.5%
,August 2014,$426K,2.4%,8.6%,128,-1.5%,0.8%,144,0.7%,-3.4%,66,37.5%,-14.3%,9,1,2,102.2%,-0.2%,-0.5%
,September 2014,$399K,-6.4%,1.3%,120,-6.3%,1.7%,138,-4.2%,-4.2%,62,-6.1%,-23.5%,10,1,2,101.4%,-0.8%,-1.3%
,October 2014,$420K,5.3%,12.0%,115,-4.2%,6.5%,140,1.4%,-0.7%,63,1.6%,-8.7%,12,2,-2,100.6%,-0.8%,-0.3%
,November 2014,$420K,0.0%,12.9%,108,-6.1%,-1.8%,112,-20.0%,13.1%,49,-22.2%,-10.9%,12,1,-1,99.8%,-0.8%,-0.4%
,December 2014,$445K,6.0%,19.8%,104,-3.7%,3.0%,89,-20.5%,34.8%,28,-42.9%,-34.9%,19,7,4,99.7%,-0.1%,-0.3%
,January 2015,$425K,-4.5%,15.1%,93,-10.6%,10.7%,65,-27.0%,30.0%,26,-7.1%,-25.7%,18,-2,1,99.7%,0.0%,-0.4%
,February 2015,$422K,-0.6%,16.9%,86,-7.5%,26.5%,66,1.5%,-5.7%,25,-3.8%,-30.6%,20,3,2,100.0%,0.3%,-1.3%
,March 2015,$425K,0.5%,11.8%,76,-11.6%,2.7%,92,39.4%,-8.9%,27,8.0%,-30.8%,18,-2,-3,100.3%,0.2%,-0.3%
,April 2015,$456K,7.5%,25.0%,91,19.7%,0.0%,120,30.4%,-3.2%,30,11.1%,-18.9%,8,-10,-5,103.0%,2.8%,0.8%
,May 2015,$464K,1.8%,22.3%,107,17.6%,-6.1%,153,27.5%,8.5%,39,30.0%,-11.4%,7,-1,-1,103.3%,0.2%,0.9%
,June 2015,$457K,-1.6%,14.3%,140,30.8%,12.0%,160,4.6%,11.9%,42,7.7%,0.0%,7,0,-1,103.9%,0.6%,0.6%
,July 2015,$450K,-1.6%,8.1%,146,4.3%,12.3%,149,-6.9%,4.2%,36,-14.3%,-25.0%,8,1,0,103.0%,-0.9%,0.6%
,August 2015,$466K,3.6%,9.3%,145,-0.7%,13.3%,136,-8.7%,-5.6%,41,13.9%,-37.9%,8,0,-1,102.9%,-0.1%,0.7%
,September 2015,$490K,5.2%,22.8%,131,-9.7%,9.2%,141,3.7%,2.2%,40,-2.4%,-35.5%,9,1,-1,102.5%,-0.4%,1.0%
,October 2015,$485K,-1.0%,15.5%,134,2.3%,16.5%,137,-2.8%,-2.1%,36,-10.0%,-42.9%,8,-1,-4,102.7%,0.3%,2.1%
,November 2015,$487K,0.3%,15.8%,121,-9.7%,12.0%,116,-15.3%,3.6%,24,-33.3%,-51.0%,8,0,-4,103.1%,0.4%,3.4%
,December 2015,$470K,-3.4%,5.6%,115,-5.0%,10.6%,77,-33.6%,-13.5%,14,-41.7%,-50.0%,8,0,-11,102.8%,-0.3%,3.1%
,January 2016,$468K,-0.5%,10.0%,92,-20.0%,-1.1%,58,-24.7%,-10.8%,18,28.6%,-30.8%,9,1,-9,102.7%,-0.1%,3.0%
,February 2016,$445K,-4.8%,5.3%,77,-16.3%,-10.5%,55,-5.2%,-16.7%,17,-5.6%,-32.0%,10,1,-10,102.9%,0.2%,2.9%
,March 2016,$480K,7.8%,13.0%,68,-11.7%,-10.5%,86,56.4%,-6.5%,22,29.4%,-18.5%,9,-2,-10,104.8%,1.9%,4.6%
,April 2016,$550K,14.6%,20.6%,82,20.6%,-9.9%,127,47.7%,5.8%,37,68.2%,23.3%,8,-1,0,108.2%,3.4%,5.2%
,May 2016,$545K,-0.9%,17.4%,108,31.7%,0.9%,156,22.8%,2.0%,33,-10.8%,-15.4%,7,-1,0,109.0%,0.7%,5.7%
,June 2016,$540K,-0.9%,18.1%,135,25.0%,-3.6%,168,7.7%,5.0%,41,24.2%,-2.4%,7,0,0,108.5%,-0.5%,4.6%
,July 2016,$550K,1.9%,22.2%,137,1.5%,-6.2%,162,-3.6%,8.7%,43,4.9%,19.4%,7,0,-1,106.7%,-1.8%,3.7%
,August 2016,$545K,-0.9%,17.0%,144,5.1%,-0.7%,161,-0.6%,18.4%,48,11.6%,17.1%,8,1,0,105.0%,-1.7%,2.1%
,September 2016,$537K,-1.5%,9.6%,134,-6.9%,2.3%,156,-3.1%,10.6%,51,6.3%,27.5%,8,0,-1,103.9%,-1.1%,1.4%
,October 2016,$531K,-1.1%,9.5%,144,7.5%,7.5%,146,-6.4%,6.6%,47,-7.8%,30.6%,9,1,1,102.8%,-1.2%,0.0%
,November 2016,$515K,-3.0%,5.9%,138,-4.2%,14.0%,119,-18.5%,2.6%,30,-36.2%,25.0%,10,1,2,102.3%,-0.4%,-0.8%
,December 2016,$513K,-0.5%,9.0%,128,-7.2%,11.3%,73,-38.7%,-5.2%,12,-60.0%,-14.3%,13,3,5,101.9%,-0.4%,-0.9%
,January 2017,$505K,-1.5%,8.0%,93,-27.3%,1.1%,50,-31.5%,-13.8%,17,41.7%,-5.6%,16,3,7,101.9%,-0.1%,-0.8%
,February 2017,$515K,1.9%,15.6%,72,-22.6%,-6.5%,55,10.0%,0.0%,15,-11.8%,-11.8%,11,-5,1,102.9%,1.0%,-0.1%
,March 2017,$526K,2.1%,9.5%,68,-5.6%,0.0%,80,45.5%,-7.0%,14,-6.7%,-36.4%,7,-4,-2,104.5%,1.7%,-0.3%
,April 2017,$553K,5.1%,0.5%,80,17.6%,-2.4%,102,27.5%,-19.7%,19,35.7%,-48.6%,7,0,-1,108.1%,3.6%,-0.1%
,May 2017,$570K,3.2%,4.6%,98,22.5%,-9.3%,125,22.5%,-19.9%,26,36.8%,-21.2%,7,0,0,109.2%,1.1%,0.3%
,June 2017,$664K,16.5%,23.0%,114,16.3%,-15.6%,152,21.6%,-9.5%,34,30.8%,-17.1%,7,0,0,110.9%,1.6%,2.4%
,July 2017,$672K,1.2%,22.2%,125,9.6%,-8.8%,152,0.0%,-6.2%,26,-23.5%,-39.5%,7,0,0,110.0%,-0.8%,3.3%
,August 2017,$689K,2.5%,26.3%,140,12.0%,-2.8%,151,-0.7%,-6.2%,31,19.2%,-35.4%,7,0,-1,108.3%,-1.7%,3.3%
,September 2017,$663K,-3.8%,23.4%,140,0.0%,4.5%,141,-6.6%,-9.6%,30,-3.2%,-41.2%,8,1,0,106.5%,-1.8%,2.6%
,October 2017,$655K,-1.1%,23.4%,135,-3.6%,-6.3%,139,-1.4%,-4.8%,29,-3.3%,-38.3%,8,0,-1,104.9%,-1.7%,2.1%
,November 2017,$620K,-5.4%,20.3%,126,-6.7%,-8.7%,108,-22.3%,-9.2%,13,-55.2%,-56.7%,9,1,-1,103.9%,-1.0%,1.6%
,December 2017,$586K,-5.5%,14.2%,106,-15.9%,-17.2%,66,-38.9%,-9.6%,9,-30.8%,-25.0%,11,2,-2,102.7%,-1.2%,0.8%
,January 2018,$585K,-0.1%,15.8%,85,-19.8%,-8.6%,60,-9.1%,20.0%,15,66.7%,-11.8%,12,1,-4,102.0%,-0.7%,0.2%
,February 2018,$650K,11.1%,26.3%,73,-14.1%,1.4%,69,15.0%,25.5%,16,6.7%,6.7%,8,-4,-3,105.4%,3.4%,2.6%
,March 2018,$713K,9.7%,35.7%,75,2.7%,10.3%,109,58.0%,36.3%,19,18.8%,35.7%,7,-1,0,107.1%,1.7%,2.6%
,April 2018,$720K,1.0%,30.3%,100,33.3%,25.0%,113,3.7%,10.8%,24,26.3%,26.3%,7,0,0,109.2%,2.1%,1.1%
,May 2018,$686K,-4.7%,20.3%,104,4.0%,6.1%,136,20.4%,8.8%,27,12.5%,3.8%,7,0,0,108.7%,-0.5%,-0.6%
,June 2018,$680K,-0.9%,2.3%,121,16.3%,6.1%,154,13.2%,1.3%,48,77.8%,41.2%,7,0,0,108.5%,-0.2%,-2.4%
,July 2018,$655K,-3.6%,-2.5%,119,-1.7%,-4.8%,159,3.2%,4.6%,48,0.0%,84.6%,8,1,1,106.2%,-2.3%,-3.8%
,August 2018,$654K,-0.2%,-5.1%,126,5.9%,-10.0%,144,-9.4%,-4.6%,49,2.1%,58.1%,9,1,2,103.4%,-2.9%,-5.0%
,September 2018,$655K,0.2%,-1.1%,112,-11.1%,-20.0%,139,-3.5%,-1.4%,74,51.0%,146.7%,12,3,4,100.7%,-2.7%,-5.8%
,October 2018,$659K,0.5%,0.5%,102,-8.9%,-24.4%,135,-2.9%,-2.9%,73,-1.4%,151.7%,13,1,5,99.7%,-1.0%,-5.2%
,November 2018,$700K,6.3%,13.0%,85,-16.7%,-32.5%,118,-12.6%,9.3%,52,-28.8%,300.0%,16,3,7,99.0%,-0.6%,-4.9%
,December 2018,$654K,-6.6%,11.7%,84,-1.2%,-20.8%,67,-43.2%,1.5%,40,-23.1%,344.4%,28,12,17,98.5%,-0.5%,-4.2%
,January 2019,$655K,0.1%,11.9%,76,-9.5%,-10.6%,47,-29.9%,-21.7%,34,-15.0%,126.7%,36,8,24,98.0%,-0.5%,-4.0%
,February 2019,$643K,-1.9%,-1.2%,70,-7.9%,-4.1%,54,14.9%,-21.7%,37,8.8%,131.3%,36,0,28,98.0%,-0.1%,-7.5%
,March 2019,$655K,2.0%,-8.1%,65,-7.1%,-13.3%,81,50.0%,-25.7%,40,8.1%,110.5%,23,-14,16,99.2%,1.2%,-7.9%
,April 2019,$660K,0.7%,-8.3%,80,23.1%,-20.0%,123,51.9%,8.8%,61,52.5%,154.2%,10,-13,3,100.4%,1.2%,-8.8%
,May 2019,$665K,0.8%,-3.0%,97,21.3%,-6.7%,151,22.8%,11.0%,79,29.5%,192.6%,9,-1,2,100.8%,0.5%,-7.8%
,June 2019,$673K,1.2%,-1.0%,101,4.1%,-16.5%,172,13.9%,11.7%,73,-7.6%,52.1%,8,-1,1,100.8%,-0.1%,-7.7%
,July 2019,$650K,-3.4%,-0.8%,118,16.8%,-0.8%,154,-10.5%,-3.1%,78,6.8%,62.5%,9,1,1,100.6%,-0.2%,-5.7%
,August 2019,$655K,0.8%,0.2%,111,-5.9%,-11.9%,136,-11.7%,-5.6%,77,-1.3%,57.1%,18,9,9,100.0%,-0.6%,-3.4%
,September 2019,$665K,1.5%,1.5%,117,5.4%,4.5%,125,-8.1%,-10.1%,84,9.1%,13.5%,22,4,10,99.5%,-0.5%,-1.2%
,October 2019,$695K,4.4%,5.5%,94,-19.7%,-7.8%,123,-1.6%,-8.9%,73,-13.1%,0.0%,19,-3,6,98.7%,-0.8%,-0.9%
,November 2019,$668K,-3.9%,-4.6%,110,17.0%,29.4%,112,-8.9%,-5.1%,55,-24.7%,5.8%,19,0,3,99.1%,0.3%,0.0%
,December 2019,$651K,-2.5%,-0.5%,108,-1.8%,28.6%,74,-33.9%,10.4%,32,-41.8%,-20.0%,20,1,-8,99.4%,0.3%,0.9%
,January 2020,$632K,-2.9%,-3.5%,106,-1.9%,39.5%,54,-27.0%,14.9%,20,-37.5%,-41.2%,27,7,-9,99.4%,0.0%,1.3%
,February 2020,$625K,-1.1%,-2.7%,85,-19.8%,21.4%,65,20.4%,20.4%,30,50.0%,-18.9%,40,13,4,99.5%,0.1%,1.5%
,March 2020,$621K,-0.6%,-5.2%,85,0.0%,30.8%,120,84.6%,48.1%,40,33.3%,0.0%,19,-21,-4,100.7%,1.2%,1.4%
,April 2020,$713K,14.7%,8.0%,93,9.4%,16.3%,126,5.0%,2.4%,38,-5.0%,-37.7%,7,-12,-3,102.4%,1.7%,2.0%
,May 2020,$715K,0.4%,7.5%,96,3.2%,-1.0%,127,0.8%,-15.9%,47,23.7%,-40.5%,7,0,-2,102.2%,-0.2%,1.4%
,June 2020,$675K,-5.6%,0.3%,94,-2.1%,-6.9%,116,-8.7%,-32.6%,36,-23.4%,-50.7%,6,-1,-2,102.0%,-0.2%,1.2%
,July 2020,$683K,1.1%,5.0%,117,24.5%,-0.8%,144,24.1%,-6.5%,41,13.9%,-47.4%,7,1,-2,101.1%,-0.8%,0.6%
,August 2020,$729K,6.8%,11.3%,125,6.8%,12.6%,172,19.4%,26.5%,49,19.5%,-36.4%,7,0,-11,102.6%,1.5%,2.6%
,September 2020,$730K,0.1%,9.7%,150,20.0%,28.2%,162,-5.8%,29.6%,42,-14.3%,-50.0%,7,0,-15,103.2%,0.6%,3.7%
,October 2020,$727K,-0.3%,4.7%,138,-8.0%,46.8%,164,1.2%,33.3%,44,4.8%,-39.7%,7,0,-12,104.0%,0.8%,5.3%
"Seattle, WA - Lake View",February 2012,$352K,0.0%,-4.0%,2,0.0%,0.0%,1,0.0%,,,,,54,0,4,99.2%,0.0%,0.8%
,March 2012,$355K,0.9%,-3.8%,1,-50.0%,0.0%,1,0.0%,0.0%,,,,3,-51,-62,98.7%,-0.5%,0.2%
,April 2012,$355K,0.0%,-3.8%,1,0.0%,0.0%,1,0.0%,0.0%,,,,3,0,-62,98.7%,0.0%,0.2%
,May 2012,$355K,0.0%,-54.2%,1,0.0%,0.0%,4,300.0%,300.0%,3,,,3,0,-43,98.7%,0.0%,18.8%
,July 2012,$765K,,41.1%,1,,-50.0%,4,,0.0%,3,,50.0%,11,,-30,98.7%,,10.5%
,August 2012,$765K,0.0%,125.4%,1,0.0%,-50.0%,1,-75.0%,-80.0%,3,0.0%,0.0%,11,0,-18,98.7%,0.0%,0.4%
,September 2012,$765K,0.0%,106.9%,1,0.0%,0.0%,,,,3,0.0%,-25.0%,11,0,-11,98.7%,0.0%,-1.3%
,March 2013,$380K,,7.0%,2,,100.0%,5,,400.0%,3,,,39,,36,101.2%,,2.5%
,April 2013,$370K,-2.6%,4.2%,3,50.0%,200.0%,4,-20.0%,300.0%,3,0.0%,,8,-31,5,100.4%,-0.8%,1.7%
,May 2013,$370K,0.0%,4.2%,3,0.0%,200.0%,6,50.0%,50.0%,5,66.7%,66.7%,8,0,5,100.4%,0.0%,1.7%
,June 2013,$370K,0.0%,,1,-66.7%,,2,-66.7%,,5,0.0%,,3,-5,,98.7%,-1.7%,
,August 2013,$940K,,22.9%,2,,100.0%,3,,200.0%,5,,66.7%,5,,-7,100.8%,,2.1%
,September 2013,$430K,-54.3%,-43.8%,3,50.0%,200.0%,3,0.0%,,1,-80.0%,-66.7%,5,1,-6,99.7%,-1.1%,1.0%
,October 2013,$430K,0.0%,,3,0.0%,,2,-33.3%,,2,100.0%,,5,0,,99.7%,0.0%,
,November 2013,$390K,-9.3%,,1,-66.7%,,1,-50.0%,,1,-50.0%,,8,3,,97.5%,-2.2%,
,January 2014,$365K,,,1,,,3,,,2,,,29,,,91.3%,,
,February 2014,$405K,11.0%,,2,100.0%,,3,0.0%,,,,,16,-13,,95.6%,4.4%,
,March 2014,$266K,-34.4%,-30.1%,4,100.0%,100.0%,2,-33.3%,-60.0%,,,,30,14,-9,93.6%,-2.0%,-7.6%
,April 2014,$167K,-37.3%,-55.0%,3,-25.0%,0.0%,,,,,,,31,1,23,94.4%,0.8%,-6.0%
,May 2014,$159K,-4.8%,-57.2%,3,0.0%,0.0%,1,,-83.3%,,,,31,0,23,94.2%,-0.2%,-6.2%
,June 2014,$149K,-6.0%,-59.7%,1,-66.7%,0.0%,1,0.0%,-50.0%,,,,13,-18,10,99.4%,5.2%,0.7%
,July 2014,$149K,0.0%,,1,0.0%,,3,200.0%,,2,,,13,0,,99.4%,0.0%,
,October 2014,$384K,,-10.7%,1,,-66.7%,1,,-50.0%,1,,-50.0%,25,,20,96.0%,,-3.7%
,November 2014,$717K,86.7%,83.8%,2,100.0%,100.0%,2,100.0%,100.0%,,,,65,40,57,91.9%,-4.1%,-5.6%
,December 2014,$717K,0.0%,,2,0.0%,,1,-50.0%,,,,,65,0,,91.9%,0.0%,
,January 2015,"$1,050K",46.4%,187.7%,1,-50.0%,0.0%,1,0.0%,-66.7%,,,,105,40,76,87.9%,-4.1%,-3.4%
,February 2015,$588K,-44.0%,45.2%,1,0.0%,-50.0%,1,0.0%,-66.7%,1,,,3,-102,-13,98.0%,10.1%,2.4%
,March 2015,$511K,-13.2%,92.1%,2,100.0%,-50.0%,1,0.0%,-50.0%,,,,16,13,-14,98.4%,0.4%,4.8%
,April 2015,$511K,0.0%,206.6%,2,0.0%,-33.3%,1,0.0%,,,,,16,0,-15,98.4%,0.0%,4.0%
,May 2015,$433K,-15.2%,173.2%,1,-50.0%,-66.7%,1,0.0%,0.0%,1,,,29,13,-2,98.9%,0.4%,4.7%
,August 2015,$568K,,,1,,,2,,,1,,,5,,,126.2%,,
,September 2015,$568K,0.0%,,1,0.0%,,2,0.0%,,,,,5,0,,126.2%,0.0%,
,October 2015,$480K,-15.4%,25.1%,2,100.0%,100.0%,2,0.0%,100.0%,,,,10,5,-16,112.2%,-14.0%,16.2%
,November 2015,$393K,-18.3%,-45.3%,1,-50.0%,-50.0%,1,-50.0%,-50.0%,,,,14,5,-51,98.1%,-14.0%,6.2%
,December 2015,$402K,2.5%,-43.9%,2,100.0%,0.0%,1,0.0%,0.0%,,,,9,-6,-57,100.6%,2.4%,8.6%
,January 2016,$412K,2.4%,-60.8%,1,-50.0%,0.0%,,,,,,,3,-6,-102,103.0%,2.4%,15.1%
,February 2016,$412K,0.0%,-29.9%,1,0.0%,0.0%,1,,0.0%,,,,3,0,0,103.0%,0.0%,5.0%
,March 2016,$498K,20.9%,-2.4%,1,0.0%,-50.0%,1,0.0%,0.0%,,,,8,5,-8,96.7%,-6.3%,-1.7%
,April 2016,$498K,0.0%,-2.4%,1,0.0%,-50.0%,1,0.0%,0.0%,,,,8,0,-8,96.7%,0.0%,-1.7%
,May 2016,$498K,0.0%,15.0%,1,0.0%,0.0%,,,,,,,8,0,-21,96.7%,0.0%,-2.1%
,July 2016,$720K,,,1,,,1,,,,,,1,,,116.1%,,
,August 2016,$720K,0.0%,26.8%,1,0.0%,0.0%,1,0.0%,-50.0%,,,,1,0,-4,116.1%,0.0%,-10.1%
,September 2016,$720K,0.0%,26.8%,1,0.0%,0.0%,1,0.0%,-50.0%,,,,1,0,-4,116.1%,0.0%,-10.1%
,December 2017,$515K,,,1,,,1,,,,,,6,,,103.2%,,
,January 2018,$515K,0.0%,,1,0.0%,,,,,,,,6,0,,103.2%,0.0%,
,February 2018,$515K,0.0%,,1,0.0%,,,,,,,,6,0,,103.2%,0.0%,
,March 2019,$599K,,,1,,,,,,,,,114,,,95.0%,,
,April 2019,$599K,0.0%,,1,0.0%,,1,,,1,,,114,0,,95.0%,0.0%,
,May 2019,$599K,0.0%,,1,0.0%,,1,0.0%,,,,,114,0,,95.0%,0.0%,
,June 2019,$759K,26.8%,,1,0.0%,,2,100.0%,,1,,,16,-98,,96.3%,1.3%,
,July 2019,$759K,0.0%,,1,0.0%,,1,-50.0%,,1,0.0%,,16,0,,96.3%,0.0%,
,August 2019,$759K,0.0%,,1,0.0%,,1,0.0%,,1,0.0%,,16,0,,96.3%,0.0%,
,November 2019,$610K,,,1,,,3,,,2,,,55,,,95.6%,,
,December 2019,$595K,-2.5%,,2,100.0%,,1,-66.7%,,1,-50.0%,,53,-3,,96.1%,0.5%,
,January 2020,$595K,0.0%,,2,0.0%,,1,0.0%,,1,0.0%,,53,0,,96.1%,0.0%,
,February 2020,$744K,25.1%,,2,0.0%,,1,0.0%,,2,100.0%,,121,68,,93.9%,-2.3%,
,March 2020,$909K,22.1%,51.9%,1,-50.0%,0.0%,1,0.0%,,2,0.0%,,191,71,77,91.1%,-2.8%,-3.9%
,April 2020,$909K,0.0%,51.9%,1,0.0%,0.0%,1,0.0%,0.0%,1,-50.0%,0.0%,191,0,77,91.1%,0.0%,-3.9%
,July 2020,"$1,087K",,43.1%,2,,100.0%,3,,200.0%,1,,0.0%,6,,-10,100.4%,,4.1%
,August 2020,"$1,087K",0.0%,43.1%,2,0.0%,100.0%,5,66.7%,400.0%,3,200.0%,200.0%,6,0,-10,100.4%,0.0%,4.1%
,September 2020,"$1,087K",0.0%,,2,0.0%,,6,20.0%,,6,100.0%,,6,0,,100.4%,0.0%,
"Seattle, WA - Laurelhurst",February 2012,$864K,2.9%,-1.1%,10,-16.7%,-9.1%,8,-11.1%,-27.3%,9,12.5%,-25.0%,32,5,-76,97.6%,0.9%,1.6%
,March 2012,$953K,10.3%,9.0%,10,0.0%,11.1%,12,50.0%,-40.0%,10,11.1%,-28.6%,90,58,-19,95.6%,-2.0%,3.1%
,April 2012,"$1,013K",6.3%,18.4%,8,-20.0%,-57.9%,19,58.3%,-20.8%,14,40.0%,7.7%,64,-26,8,94.4%,-1.2%,-2.0%
,May 2012,$886K,-12.5%,11.4%,9,12.5%,-50.0%,21,10.5%,-22.2%,15,7.1%,-16.7%,72,8,43,95.2%,0.8%,-2.9%
,June 2012,$738K,-16.8%,-7.2%,11,22.2%,-45.0%,21,0.0%,-16.0%,15,0.0%,-31.8%,30,-42,21,98.0%,2.8%,-1.5%
,July 2012,$775K,5.1%,1.2%,12,9.1%,0.0%,28,33.3%,40.0%,18,20.0%,20.0%,10,-20,-9,100.2%,2.2%,1.0%
,August 2012,$790K,1.9%,-13.7%,19,58.3%,72.7%,25,-10.7%,78.6%,14,-22.2%,7.7%,15,5,-8,99.1%,-1.1%,0.7%
,September 2012,$815K,3.2%,15.6%,19,0.0%,58.3%,28,12.0%,180.0%,15,7.1%,-6.3%,7,-8,-27,98.9%,-0.2%,-1.5%
,October 2012,$855K,4.9%,33.6%,24,26.3%,118.2%,16,-42.9%,45.5%,10,-33.3%,-9.1%,13,6,-31,97.4%,-1.5%,-2.2%
,November 2012,$847K,-1.0%,32.3%,20,-16.7%,81.8%,15,-6.3%,15.4%,9,-10.0%,0.0%,23,10,-2,97.4%,0.1%,-1.0%
,December 2012,$800K,-5.6%,-9.0%,18,-10.0%,80.0%,8,-46.7%,-20.0%,9,0.0%,50.0%,29,6,5,97.1%,-0.3%,2.0%
,January 2013,$800K,0.1%,-4.6%,11,-38.9%,-8.3%,7,-12.5%,-22.2%,9,0.0%,12.5%,51,23,24,96.0%,-1.1%,-0.6%
,February 2013,$555K,-30.6%,-35.7%,7,-36.4%,-30.0%,10,42.9%,25.0%,7,-22.2%,-22.2%,34,-17,2,94.3%,-1.7%,-3.3%
,March 2013,$763K,37.4%,-19.9%,10,42.9%,0.0%,15,50.0%,25.0%,6,-14.3%,-40.0%,21,-14,-69,97.0%,2.7%,1.4%
,April 2013,$986K,29.2%,-2.7%,16,60.0%,100.0%,22,46.7%,15.8%,5,-16.7%,-64.3%,8,-13,-56,98.5%,1.4%,4.1%
,May 2013,$963K,-2.3%,8.6%,24,50.0%,166.7%,29,31.8%,38.1%,5,0.0%,-66.7%,7,-1,-65,100.2%,1.7%,5.0%
,June 2013,"$1,015K",5.5%,37.6%,29,20.8%,163.6%,33,13.8%,57.1%,9,80.0%,-40.0%,8,1,-22,100.7%,0.6%,2.7%
